Id,Sales
1,5773.3804
2,9691.767
3,10396.673
4,9028.755
5,8945.749
6,6876.5596
7,9682.695
8,7026.2754
9,11927.801
10,7129.0483
11,9392.048
12,10183.267
13,7084.12
14,9821.513
15,8594.255
16,8049.7173
17,8805.664
18,14973.012
19,14953.012
20,14540.427
21,10479.922
22,6184.725
23,6079.1606
24,8810.72
25,7743.074
26,13175.853
27,8421.974
28,8423.707
29,9995.538
30,5398.485
31,6946.684
32,9662.632
33,10836.006
34,6784.6606
35,10867.929
36,10645.604
37,4407.9976
38,8434.172
39,6042.539
40,8345.9
41,9291.961
42,6797.905
43,8297.225
44,7715.1934
45,6874.226
46,8053.8633
47,10243.627
48,14261.683
49,9888.223
50,7625.056
51,9599.498
52,12160.954
53,8161.1357
54,12479.58
55,7351.9946
56,6288.714
57,13628.014
58,7707.684
59,11048.428
60,9412.918
61,8940.678
62,9371.1455
63,8911.735
64,14351.802
65,7978.9688
66,13399.309
67,8885.649
68,8915.528
69,15236.935
70,8154.935
71,9384.484
72,8209.071
73,9578.455
74,7947.241
75,7407.694
76,9857.997
77,9754.377
78,12000.856
79,6773.5845
80,9463.301
81,12865.144
82,7067.5845
83,5162.2295
84,8889.29
85,7249.8135
86,7238.5347
87,7171.842
88,5291.456
89,9094.309
90,7221.229
91,9719.398
92,8133.1045
93,7145.046
94,9896.658
95,7227.941
96,10333.824
97,11680.196
98,9694.058
99,8175.0874
100,7482.5415
101,7786.6895
102,6946.608
103,9396.668
104,8982.453
105,9051.823
106,6782.97
107,5863.915
108,10662.569
109,8978.11
110,14630.448
111,11972.604
112,10006.194
113,10054.689
114,7815.743
115,6888.6787
116,9640.697
117,11322.087
118,11046.778
119,11965.161
120,9517.338
121,9762.312
122,7545.636
123,7329.684
124,10022.011
125,8699.873
126,4848.1704
127,8162.2817
128,10141.443
129,7699.8535
130,6152.891
131,10801.518
132,11436.128
133,7246.9736
134,7419.3296
135,7045.1973
136,10403.245
137,9721.474
138,10176.63
139,7599.779
140,7198.3423
141,8785.6455
142,5811.993
143,8917.259
144,9678.193
145,11019.292
146,11072.3125
147,9126.873
148,8973.096
149,5907.0576
150,6582.3647
151,13468.944
152,8444.918
153,9318.687
154,8233.786
155,7059.807
156,7384.1855
157,8631.475
158,11318.554
159,13566.648
160,7255.606
161,8484.787
162,6711.155
163,9735.216
164,11497.067
165,9999.289
166,14630.416
167,6553.2715
168,6546.176
169,3849.733
170,6347.0435
171,7861.152
172,8577.47
173,8659.578
174,8034.0723
175,10208.017
176,10186.949
177,10164.209
178,7854.826
179,13070.404
180,15295.737
181,7969.506
182,15411.3955
183,6499.5913
184,8770.979
185,7911.191
186,10245.1
187,9341.778
188,9397.384
189,9392.664
190,11231.152
191,8433.086
192,7210.817
193,12576.483
194,23228.195
195,13921.74
196,8715.796
197,4588.8716
198,7341.9814
199,11251.999
200,6552.3687
201,10616.042
202,20198.178
203,4887.3
204,6494.977
205,12362.075
206,7455.2554
207,11713.438
208,9204.018
209,9504.117
210,5301.1885
211,9189.139
212,7892.543
213,9379.802
214,13111.771
215,8359.259
216,7140.3457
217,8360.029
218,7346.114
219,6523.742
220,8989.174
221,8559.767
222,7403.2246
223,9558.823
224,9724.015
225,7333.7007
226,7811.469
227,8805.364
228,9351.777
229,8570.262
230,10261.318
231,6355.6846
232,5609.453
233,8670.283
234,9559.317
235,6856.978
236,4781.9067
237,11774.461
238,9151.833
239,12139.159
240,8240.855
241,7896.854
242,7140.6064
243,4461.0566
244,13777.402
245,9369.351
246,9522.908
247,19322.236
248,9403.3125
249,10232.675
250,7093.6177
251,8576.468
252,10212.692
253,5975.038
254,6878.476
255,12672.384
256,7392.539
257,20649.924
258,17438.852
259,6525.845
260,6618.502
261,6502.2627
262,7143.3438
263,11340.876
264,11505.314
265,9883.541
266,12732.927
267,5739.8813
268,8329.927
269,6575.6914
270,13359.169
271,9573.083
272,8810.82
273,8442.237
274,7223.7104
275,9192.529
276,11350.644
277,8244.982
278,12952.587
279,8688.483
280,11938.676
281,6166.4736
282,7830.1646
283,7158.772
284,11047.304
285,8092.4673
286,11510.713
287,8932.911
288,10665.085
289,7121.9873
290,11879.092
291,7911.7144
292,5531.2734
293,16337.24
294,15641.052
295,9411.77
296,9536.808
297,13641.184
298,13218.947
299,12712.146
300,8749.983
301,9438.165
302,7729.5977
303,10955.318
304,5895.773
305,7636.837
306,7026.5903
307,7967.1675
308,7744.5884
309,6808.0845
310,9753.955
311,9450.968
312,5320.9424
313,10040.201
314,7717.4956
315,11311.329
316,11002.588
317,10133.372
318,8972.806
319,8243.429
320,7486.455
321,13481.423
322,9944.252
323,10679.382
324,7710.928
325,11942.723
326,6734.775
327,10548.879
328,4772.1577
329,6391.9824
330,10367.713
331,7785.7134
332,7557.279
333,10263.416
334,12164.542
335,12444.213
336,5879.6167
337,10872.644
338,6285.0527
339,10791.252
340,8905.0205
341,6763.795
342,12036.099
343,7964.28
344,5781.0723
345,9826.39
346,14391.066
347,13410.344
348,7810.86
349,7206.1064
350,8042.1455
351,8679.956
352,8015.1255
353,7371.3267
354,9956.929
355,11736.843
356,6607.1797
357,7888.0347
358,9576.15
359,10402.385
360,13912.308
361,7160.0913
362,14804.376
363,9259.395
364,6851.0156
365,4618.793
366,7445.9453
367,8673.555
368,7772.2524
369,9115.279
370,6090.545
371,7251.397
372,9789.409
373,4683.179
374,9029.817
375,8666.476
376,12267.511
377,11819.766
378,8939.747
379,8096.2607
380,7596.1177
381,8571.601
382,7495.712
383,6419.2417
384,19134.17
385,10360.373
386,7635.9854
387,10533.252
388,10521.889
389,10616.813
390,10638.443
391,9437.122
392,6783.806
393,6734.114
394,8422.173
395,11294.098
396,7801.699
397,8366.198
398,8090.547
399,7490.5425
400,5929.715
401,11033.908
402,11288.679
403,7693.039
404,14075.64
405,12278.499
406,10033.746
407,8575.592
408,5565.723
